run,tasks_found,tasks_missing,types_found,mean_task_score,mean_type_score,retrieval,retrieval_ood,errors,result_dir
G1-R2-LL-Graded-Seed2026-s2026,1,0,1,19.67,19.67,19.67,19.67,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-LL-Graded-Seed2026-s2026/mteb_eval/bright/iclr2027-r2__G1-R2-LL-Graded-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-BinaryNDCG64-CP-Seed2026-s2026,1,0,1,19.65,19.65,19.65,19.65,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-BinaryNDCG64-CP-Seed2026-s2026/mteb_eval/bright/iclr2027-r2__G1-R2-RL-BinaryNDCG64-CP-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-NoRescale-Seed3407-s3407,1,0,1,19.56,19.56,19.56,19.56,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-NoRescale-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-NoRescale-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-SF-Align065-s42,1,0,1,19.47,19.47,19.47,19.47,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-SF-Align065-s42/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-SF-Align065-s42__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-BinaryNDCG64-CP-s42,1,0,1,19.44,19.44,19.44,19.44,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-BinaryNDCG64-CP-s42/mteb_eval/bright/iclr2027-r2__G1-R2-RL-BinaryNDCG64-CP-s42__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-MRR64-CP-Seed2026-s2026,1,0,1,19.44,19.44,19.44,19.44,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-MRR64-CP-Seed2026-s2026/mteb_eval/bright/iclr2027-r2__G1-R2-RL-MRR64-CP-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-MRR64-CP-Seed3407-s3407,1,0,1,19.36,19.36,19.36,19.36,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-MRR64-CP-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-RL-MRR64-CP-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-SF-Align053-Seed2026-s2026,1,0,1,19.34,19.34,19.34,19.34,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-SF-Align053-Seed2026-s2026/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-SF-Align053-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-MRR64-CP-s42,1,0,1,19.33,19.33,19.33,19.33,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-MRR64-CP-s42/mteb_eval/bright/iclr2027-r2__G1-R2-RL-MRR64-CP-s42__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-SF-Kappa755-Seed2026-s2026,1,0,1,19.31,19.31,19.31,19.31,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-SF-Kappa755-Seed2026-s2026/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-SF-Kappa755-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-R2-LL-Graded-Seed3407-s3407,1,0,1,19.3,19.3,19.3,19.3,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-LL-Graded-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-LL-Graded-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-SF-GaussianMismatch755-s42,1,0,1,19.28,19.28,19.28,19.28,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-SF-GaussianMismatch755-s42/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-SF-GaussianMismatch755-s42__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-SF-Align080-Seed3407-s3407,1,0,1,19.16,19.16,19.16,19.16,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-SF-Align080-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-SF-Align080-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-LL-Graded-s42,1,0,1,19.13,19.13,19.13,19.13,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-LL-Graded-s42/mteb_eval/bright/iclr2027-r2__G1-R2-LL-Graded-s42__tokens-v2__pool-fp32/no_revision_available
