run,method,seed,orig_n12,orig_long7,orig_ext5,gpt_n12,gpt_long7,gpt_ext5
G1-R2-RL-GradedNDCG64-CP-Align090-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align090-ShortlistUniform-K0-T1-Pairwise050,3407,23.30,30.78,12.84,,,
G1-R2-RL-GradedNDCG64-CP-Align090-ShortlistUniform-K0-T1-Pairwise050-s42,G1-R2-RL-GradedNDCG64-CP-Align090-ShortlistUniform-K0-T1-Pairwise050,42,23.26,30.70,12.84,,,
G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-DocOnly-Seed2026-s2026,G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-DocOnly,2026,17.02,20.03,12.81,,,
G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-DocOnly-Seed3407-s3407,G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-DocOnly,3407,20.11,24.51,13.95,,,
G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-DocOnly-s42,G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-DocOnly,42,18.22,21.75,13.28,,,
G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-Paired-Seed2026-s2026,G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-Paired,2026,18.27,21.84,13.26,,,
G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-Paired-Seed3407-s3407,G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-Paired,3407,18.57,22.39,13.22,,,
G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-Paired-s42,G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-Paired,42,19.31,23.42,13.55,,,
G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-QueryOnly-Seed2026-s2026,G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-QueryOnly,2026,15.56,17.65,12.64,,,
G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-QueryOnly-Seed3407-s3407,G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-QueryOnly,3407,16.04,18.13,13.12,,,
G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-QueryOnly-s42,G1-R2-RL-GradedNDCG64-SF-Align070-OwnCandidates-QueryOnly,42,15.96,17.97,13.13,,,
G1-R2-RL-GradedNDCG64-SF-Align070-ShortlistUniform-K0-T1-Seed2026-s2026,G1-R2-RL-GradedNDCG64-SF-Align070-ShortlistUniform-K0-T1,2026,20.34,25.26,13.45,,,
G1-R2-RL-GradedNDCG64-SF-Align070-ShortlistUniform-K0-T1-Seed3407-s3407,G1-R2-RL-GradedNDCG64-SF-Align070-ShortlistUniform-K0-T1,3407,20.58,25.91,13.13,,,
G1-R2-RL-GradedNDCG64-SF-Align070-ShortlistUniform-K0-T1-s42,G1-R2-RL-GradedNDCG64-SF-Align070-ShortlistUniform-K0-T1,42,21.63,27.49,13.42,,,
