subset,model,scope,alignment,queries,eligible_flip_queries,ndcg,mrr,hit,ndcg_drop,correct_pair_flip_rate
earth_science,RELER,candidates,0.99,116,41,0.38222418173222217,0.4914830066365627,0.7384159482758621,-0.0008262049515736792,0.009146341463414634
earth_science,RELER,candidates,0.95,116,41,0.3810345592313147,0.4887956691297209,0.7413793103448276,0.00036341754933374656,0.03086890243902439
earth_science,RELER,candidates,0.9,116,41,0.3811912244099658,0.4911199092603996,0.7409752155172413,0.00020675237068268145,0.041158536585365856
earth_science,RELER,candidates,0.8,116,41,0.3778344534575206,0.48728159636699503,0.740167025862069,0.003563523323127854,0.0743140243902439
earth_science,RELER,candidates,0.7,116,41,0.37611094981844356,0.4849760643301861,0.740301724137931,0.00528702696220492,0.10327743902439024
earth_science,Listwise,candidates,1.0,116,42,0.3795023491857312,0.4804084564860427,0.75,0.0,0.0
earth_science,Listwise,candidates,0.99,116,42,0.37961489180335584,0.47699700884304874,0.7540409482758621,-0.00011254261762458027,0.026041666666666668
earth_science,Listwise,candidates,0.95,116,42,0.37779071699121625,0.4751905018472906,0.7475754310344828,0.0017116321945150218,0.041294642857142856
earth_science,Listwise,candidates,0.9,116,42,0.3746481469890624,0.47156391112479473,0.7407058189655172,0.004854202196668797,0.05952380952380952
earth_science,Listwise,candidates,0.8,116,42,0.37024206755544015,0.464840489446497,0.7310075431034483,0.00926028163029115,0.08296130952380952
earth_science,Listwise,candidates,0.7,116,42,0.36495521841525347,0.46018019636015334,0.7237338362068966,0.014547130770477734,0.11495535714285714
robotics,E0,candidates,1.0,101,11,0.11972602573835207,0.15430221593587928,0.24752475247524752,0.0,0.0
robotics,E0,candidates,0.99,101,11,0.11980074028627005,0.15588319434622033,0.24876237623762376,-7.471454791800181e-05,0.005681818181818182
robotics,E0,candidates,0.95,101,11,0.11958479401803898,0.1550943933679082,0.24969059405940594,0.00014123172031303813,0.045454545454545456
robotics,E0,candidates,0.9,101,11,0.11894275323574477,0.1541685697587616,0.2526299504950495,0.0007832725026072793,0.061079545454545456
robotics,E0,candidates,0.8,101,11,0.11729641786145226,0.15265702351485147,0.25402227722772275,0.0024296078768997905,0.11931818181818182
robotics,E0,candidates,0.7,101,11,0.11703985011772303,0.151750537776992,0.2555693069306931,0.0026861756206290315,0.13920454545454544
robotics,InfoNCE,candidates,1.0,101,19,0.20774769570176504,0.25793257897218297,0.45544554455445546,0.0,0.0
robotics,InfoNCE,candidates,0.99,101,19,0.21046671551635046,0.25798561999057046,0.46426361386138615,-0.002719019814585426,0.047697368421052634
robotics,InfoNCE,candidates,0.95,101,19,0.20899679259226403,0.25652680781471005,0.45498143564356436,-0.0012490968904989525,0.09375
robotics,InfoNCE,candidates,0.9,101,19,0.20757972567198482,0.25708674662109066,0.4560643564356436,0.0001679700297802273,0.11430921052631579
robotics,InfoNCE,candidates,0.8,101,19,0.20172543871224027,0.2505676125648279,0.4432240099009901,0.006022256989524767,0.13733552631578946
robotics,InfoNCE,candidates,0.7,101,19,0.1926204540308129,0.23821249312431245,0.432240099009901,0.015127241670952148,0.19078947368421054
robotics,LambdaLoss,candidates,1.0,101,14,0.1760421507031572,0.21738566713814236,0.42574257425742573,0.0,0.0
robotics,LambdaLoss,candidates,0.99,101,14,0.17553591429384002,0.21999118438629575,0.42651608910891087,0.0005062364093172031,0.049107142857142856
robotics,LambdaLoss,candidates,0.95,101,14,0.17337066619756628,0.21692395243988682,0.4186262376237624,0.002671484505590929,0.15178571428571427
robotics,LambdaLoss,candidates,0.9,101,14,0.16946151776963747,0.21550682411991198,0.40439356435643564,0.0065806329335197445,0.1640625
robotics,LambdaLoss,candidates,0.8,101,14,0.16031474337394655,0.2039479338558856,0.3875309405940594,0.01572740732921064,0.25
robotics,LambdaLoss,candidates,0.7,101,14,0.14968392739657138,0.19371666519330502,0.36277846534653463,0.02635822330658582,0.28236607142857145
robotics,RELER,candidates,1.0,101,15,0.18156019770635168,0.23974933207606475,0.42574257425742573,0.0,0.0
robotics,RELER,candidates,0.99,101,15,0.18081106546763098,0.23935606730315886,0.42419554455445546,0.0007491322387206884,0.0020833333333333333
robotics,RELER,candidates,0.95,101,15,0.18258074413143532,0.24047956692990727,0.4291460396039604,-0.0010205464250836553,0.016666666666666666
